"Date","Time","Millisecond","16-bit Signed"
"2022/11/24","19:17:44","610","0"
"2022/11/24","19:18:44","640","0"
"2022/11/24","19:19:44","610","0"
"2022/11/24","19:20:44","600","0"
"2022/11/24","19:21:44","620","0"
"2022/11/24","19:22:44","610","0"
"2022/11/24","19:23:44","610","0"
"2022/11/24","19:24:44","620","0"
"2022/11/24","19:25:44","620","0"
"2022/11/24","19:26:44","610","0"
"2022/11/24","19:27:44","630","0"
"2022/11/24","19:28:44","630","0"
"2022/11/24","19:29:44","620","0"
"2022/11/24","19:30:44","620","0"
"2022/11/24","19:31:44","630","0"
"2022/11/24","19:32:44","600","0"
"2022/11/24","19:33:44","630","0"
"2022/11/24","19:34:44","620","0"
"2022/11/24","19:35:44","620","0"
"2022/11/24","19:36:44","640","0"
"2022/11/24","19:37:44","630","0"
"2022/11/24","19:38:44","610","0"
"2022/11/24","19:39:44","600","0"
"2022/11/24","19:40:44","640","0"
"2022/11/24","19:41:44","640","0"
"2022/11/24","19:42:44","620","0"
"2022/11/24","19:43:44","620","0"
"2022/11/24","19:44:44","630","0"
"2022/11/24","19:45:44","620","0"
